Q,var,;,ID,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,?,*,/,%,not,[,],LIBO,LIIN,LICH,LISTR,$,PROGRAM,DELI,DEF,VADE,VALI,IDLI,IDLICO,FUDE,PALI,VADELI,STLI,STMT,STAS,STIN,STDE,STFUCA,FUCA,EXLI,EXLICO,STIF,ELIFLI,ELSE,STLO,STBR,STRE,STEM,EXPR,EXOR,EXAN,EXCO,OPCO,EXRE,OPREL,EXADD,OPADD,EXMUL,OPMUL,EXUN,OPUN,EXPRIM,ARRAY,LIT
110,,r49,,r49,,r49,,,,,,,,,,,,r49,r49,r49,r49,s88,s89,s90,s91,,,,,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,
111,,r53,,r53,,r53,,,,,,,,,,,,r53,r53,r53,r53,r53,r53,r53,r53,s93,s94,,,,,,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,
112,,r59,,r59,,r59,,,,,,,,,,,,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,s96,s97,s98,,,r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,
113,,r63,,r63,,r63,,,,,,,,,,,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,r77,,r77,,r77,,,,,,,,,,,,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,,,r77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,r78,,r78,,r78,,,,,,,,,,,,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,r78,,,r78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,s105,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,
117,,r16,r16,,,,,r16,,r16,r16,r16,,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,s42,s34,,,,,s120,,s35,s36,s38,,,s39,s40,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,26,27,28,37,,,29,,,30,31,32,33,,,,,,,,,,,,,,,,
